Mes;Ano;Mes_Ano;CI_Pop_Uniforme;CII_Ambientalistas;CIII_Perdularios;CIV_PopUnif_RendaLinear;CV_PopUnif_RendaEquilibrio;CVI_PopUnif_RendaDesequilibrio;CVII_PopAleat_RendaLinear;CVIII_PopAleat_RendaEquilibrio;CIX_PopAleat_RendaDesequilibrio;CX_Ambient_RendaLinear;CXI_Ambient_RendaEquilibrio;CXII_Ambient_RendaDesequilibrio;CXIII_Perdul_RendaLinear;CXIV_Perdul_RendaEquilibrio;CXV_Perdul_RendaDesequilibrio;CXVI_PopUnif_RendaAleatLinear;CXVII_PopUnif_RendaAleatEquilibrio;CXVIII_PopUnif_RendaAleatDesequilibrio
2;2028;2/2028;185046,71085503208;184409,8287295701;184669,34794954478;188078,95048668026;188179,86104896496;188177,61582892455;188069,6280936441;188170,53310032157;188168,28797859355;185284,76612754597;185318,1633789533;185309,0221433957;186534,51827246253;186592,4137336452;186600,17095160263;184683,06112738568;184773,40264029033;184472,9018500053
3;2028;3/2028;185076,95683973882;184419,24802919806;184687,20573176036;188109,60463751722;188210,53336370352;188208,28773952276;188100,28056645056;188201,20373602916;188198,9582101785;185294,34291590357;185327,74617881593;185318,6032978362;186552,57414833526;186610,4800307014;186618,23864495734;184211,59312849984;184067,1304235548;184636,95514857222
4;2028;4/2028;185107,20826871882;184428,66902429704;184705,06672837565;188140,26430610372;188241,21119946105;188238,96517106847;188130,93855670386;188231,87989245268;188229,63396240742;185303,92142808397;185337,33070358445;185328,18617688582;186570,6332742656;186628,54957969039;186636,3095904978;184887,7168168075;184708,92139941806;184409,3920692316
5;2028;5/2028;185137,46514294975;184438,0917151708;184722,93093996833;188170,92949342774;188271,89455722494;188269,6481245479;188161,6020653934;188262,56157058297;188260,31523627078;185313,50166439504;185346,9169535644;185337,77078085157;186588,69565083855;186646,62238119828;186654,38378880703;184712,25364855328;184408,39846010882;183918,76339510147
6;2028;6/2028;185167,6500866669;184447,5161021398;184740,72099035702;188201,5815233353;188302,56476084536;188300,3179238104;188192,2577526937;188293,23543059404;188290,98869194204;185323,08362514872;185356,50492907077;185347,3571100468;186606,74260148927;186664,6797586603;186672,44256332304;184202,44486552515;184394,10477549996;184911,7024853979
7;2028;7/2028;185197,81805360687;184456,94218549167;184758,49183289503;188232,23366128464;188333,2350757771;188330,98783431295;188222,90975788396;188323,90561176717;188321,65846870263;185332,66731065567;185366,09463041212;185356,9451647818;186624,78739126568;186682,7349771255;186690,49917909302;184992,38844785088;185103,39898338504;184603,83764832796
8;2028;8/2028;185227,99145078415;184466,3699655418;184776,26587418353;188262,89131661938;188363,91091136672;188361,66326539792;188253,56573491663;188354,5797680531;188352,33222050406;185342,25272122672;185375,68605790078;185366,53494536583;186642,83542910506;186700,79344553046;186708,55904505425;184441,34836392832;184599,00906582037;184924,69329496002
9;2028;9/2028;185258,17027916815;184475,79944258762;184794,0431148001;188293,55449032952;188394,592268604;188392,34421805834;188284,22723002254;188385,2594456861;188383,01149357614;185351,83985716983;185385,27921184566;185376,12645210949;186660,88671559107;186718,85516445898;186726,62216179073;184849,14559333166;184399,90421180296;184474,2003055684
10;2028;10/2028;185288,35453973847;184485,23061693806;184811,82355531838;188324,22318341283;188425,27914848752;188423,03069329262;188314,89424419822;188415,94464566026;188413,69628891838;185361,42871879865;185394,87409255738;185385,7196853247;186678,94125130874;186736,9201344976;186744,68852988904;184667,37310249903;185017,98761703557;184410,5907928189
11;2028;11/2028;185318,5442334923;184494,66348891193;184829,60719631982;188354,89739686274;188455,97155200946;188453,7226920924;188345,5667784392;188446,63536897165;188444,3866075266;185371,01930642358;185404,47070034905;185395,31464532288;186696,99903684357;186754,98835623066;186762,75814993287;184767,13394605916;185075,0993971798;184745,76360892356
12;2028;12/2028;185348,73936137377;184504,0980587926;184847,39403837093;188385,57713166883;188486,66948016395;188484,42021545334;188376,24483373426;188477,33161661343;188475,08245039175;185380,6116203543;185414,06903552986;185404,9113324147;186715,06007277762;186773,05983024303;186780,83102250868;184963,41747140494;184809,3965524043;184654,53652970557
1;2029;1/2029;185375,58430627247;184512,48585266358;184863,2074105366;188518,40404915038;188623,05193524246;188620,8860454946;188510,10199517928;188614,74475947942;188612,578952777;185419,6501110979;185454,27329261063;185444,8120581191;186795,9707923021;186856,0195296041;186864,1900725348;185057,5519051113;184558,41526374157;185118,59270557298
2;2029;2/2029;185402,4335463619;184520,87498858353;184879,02331284067;188545,70108559498;188650,36571535014;188648,19947905917;188537,39770329764;188642,05721043926;188639,8910572081;185428,1843932952;185462,8131145178;185453,35036622765;186812,04088194674;186872,09922704718;186880,27107726486;184821,262323817;184989,40915403003;184863,87526390908
3;2029;3/2029;185429,28708233265;184529,26546676445;184894,84174569097;188572,999477078;188677,68085317357;188675,51427028468;188564,6977787293;188669,37403139408;188667,20753157788;185436,72004098177;185471,35430279927;185461,89004047032;186828,11053031433;186888,1784847501;186896,35164246292;185077,96338042698;185078,44825085244;185254,62062057844
4;2029;4/2029;185456,1449148671;184537,6572874229;184910,66270948877;188600,2991315912;188704,99725670624;188702,83032716627;188591,99920968074;188696,69221054396;188694,52536409022;185445,25705436742;185479,89685766725;185470,43108105732;186844,17964511758;186904,25721042478;186912,43167584407;184776,90386277632;184930,59126060613;184572,51842246793
5;2029;5/2029;185483,00704463106;184546,05045075977;184926,48620463238;188627,60315405278;188732,31803086848;188730,1507546187;188619,30190415442;188724,0116558979;188721,8444627472;185453,79543367872;185488,44077934718;185478,97348821265;186860,25133097987;186920,33850869816;186928,51428203098;184735,62308994553;185183,44742924804;184915,21582271787
6;2029;6/2029;185509,87347237248;184554,44495701828;184942,3122315511;188654,9115451593;188759,64317635514;188757,47555334074;188646,6089670586;188751,3354723627;188749,16793246218;185462,33517913093;185496,98606805448;185487,51726215257;186876,32558831183;186936,4223799786;186944,5994614359;184707,22695792158;184932,64319857347;184672,62126873087
7;2029;7/2029;185536,74419872958;184562,84080639365;184958,14079062841;188682,22430560694;188786,972693863;188784,80472402828;188673,92039909548;188778,6636606402;188776,49577393144;185470,87629094167;185505,5327240066;185496,06240309548;186892,40241752513;186952,50882467892;186960,68721446852;185224,2007476451;185128,6647565244;184744,19592959926
8;2029;8/2029;185563,61922440096;184571,23799910434;184973,9718822736;188709,54143609555;188814,30658409404;188812,1382673847;188701,23620095864;188805,99622142495;188803,82798785507;185479,41876933022;185514,08074742474;185504,60891126274;186908,48181903054;186968,59784320946;186976,77754154152;185075,80441023907;184830,9423120469;184676,56499722414
9;2029;9/2029;185590,49855007575;184579,6365353649;184989,80550689326;188736,8629373248;188841,64484774717;188839,47618410783;188728,5563733504;188833,33315542032;188831,16457493356;185487,9626145148;185522,63013852542;185513,15678687076;186924,56379324052;186984,6894359834;186992,8704430669;185122,0210798208;184743,34023603736;185207,83280513188
10;2029;10/2029;185617,3821764442;184588,03641539483;185005,6416648924;188764,18880999644;188868,98748552368;188866,81847489785;188755,8809169717;188860,6744633263;188858,5055358665;185496,5078267159;185531,18089753046;185521,70603013886;186940,6483405669;187000,78360341192;187008,96591945706;185369,888885585;185555,25656958765;185185,3541500739
11;2029;11/2029;185644,27010419586;184596,43763940368;185021,48035668003;188791,5190548038;188896,33449812143;188894,1651404527;188783,2098325168;188888,02014583978;188885,85087135067;185505,05440614815;185539,73302465575;185530,25664128445;186956,73546141994;187016,88034590747;187025,06397112316;185051,91184490285;185069,59482364517;185181,8571028265
12;2029;12/2029;185671,1623340066;184604,84020760332;185037,32158265522;188818,85367245323;188923,68588624083;188921,51618147662;188810,5431206897;188915,37020366325;188913,20058209088;185513,6023530358;185548,28652012104;185538,80862052957;186972,82515621267;187032,97966388197;187041,1645984777;185356,6300119665;185113,59849927347;185361,79540145697
1;2030;1/2030;185694,6968000146;184612,19363114887;185051,18487315424;189716,63257164843;189850,83693507168;189849,3616113118;189709,3275047237;189843,5261173555;189842,0508336236;185773,80009800912;185818,1143552946;185806,12941306646;187523,6666387834;187600,747869404;187612,23642568442;185348,4887018838;185272,1020604595;185287,01529871416
2;2030;2/2030;185718,23456084347;184619,54808416462;185065,05010451796;189740,66917288274;189874,89232491713;189873,41679461155;189733,36308324858;189867,58048368662;189866,10499341442;185781,31717593;185825,63763721247;185813,6510170923;187537,81378699272;187614,90580898485;187626,39597366322;185399,34985425603;185119,41646032644;184785,23902359957
3;2030;3/2030;185741,77561695187;184626,90356680332;185078,9172770094;189764,709139242;189898,95108251693;189897,47534563867;189757,40202675582;189891,63821762946;189890,1625207896;185788,8353062437;185833,16197239;185821,1736741442;187551,96291580197;187629,06573067716;187640,55750397887;185306,81014069702;185212,33601682392;184900,74994793424
4;2030;4/2030;185765,31996881816;184634,2600792165;185092,78639090763;189788,75247119655;189923,01320834263;189921,53726486102;189781,44433571366;189915,6993196534;189914,22341621565;185796,35448909638;185840,68736097525;185828,69738436647;187566,11402548876;187643,227634758;187654,72101690853;185338,41609088212;185417,22960316305;185062,41494677763
5;2030;5/2030;185788,86761688453;184641,61762153072;185106,6574464827;189812,79916921814;189947,07870286674;189945,6025527534;189805,4900105973;189939,76379023376;189938,28768017067;185803,87472463388;185848,21380311466;185836,22214791045;187580,26711633173;187657,3915215061;187668,88651272957;185160,48539015604;185403,11918001165;185010,35501516992
6;2030;6/2030;185812,41856162454;184648,97619390642;185120,53044400344;189836,84923377502;189971,14756656048;189969,67120978542;189829,53905187195;189963,83162983874;189962,3553131192;185811,3960130042;185855,74129895665;185843,74796492085;187594,4221886057;187671,55739119786;187683,05399171935;185553,62317821744;185803,1637541291;185669,08110000685
7;2030;7/2030;185835,97280350348;184656,33579648653;185134,40538374544;189860,90266534238;189995,21979989315;189993,74323642848;189853,59146001365;189987,90283894053;189986,42631553768;185818,9183543548;185863,26984864686;185851,2748355435;187608,57924259113;187685,72524411083;187697,22345415747;185698,6810897433;184969,77304028952;185593,93491475622
8;2030;8/2030;185859,53034296836;184663,69642940478;185148,28226597823;189884,95946439198;190019,29540334304;190017,81863315694;189877,64723549367;190011,97741801577;190010,50068789648;185826,44174883323;185870,79945233578;185858,80275992904;187622,7382785657;187699,89508052554;187711,39490032088;185632,19168207003;185311,17242482075;185204,28085687963
