SK_MATRICULA;NM_LOCALIDADE;NM_CATEGORIATARIFARIA;NM_SITUACAO_IMOVEL;NN_MORADORES;NN_MORADORES_ANALISE;ST_PISCINA;LAT_GEO;LONG_GEO;X;Y;CD_SETOR_ORIGINAL;CD_SETOR;NN_MEDIA_CONSUMO;NN_CONSUMO_DIARIO;TP_COMPORTAMENTO;VL_RENDA_MEDIA_RESPONSAVEL;NN_MEDIA_MORADORES_IBGE
11821754B9899D96A692DDC1888DF09EAA6E2783DAA4D519843C0EF3ECF1C738;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.944251839879058;-38.36226960762659;569173.0494051924;8568943.007833298;292740805090200;S062;4.25;46.44808743169399;AMBIENTALISTA;1021.96;2.6
122D810B0A676C50A265EA5CC876A247AA87B4DA18F9222F94ADA44D43A28960;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.945708845062263;-38.36260114531324;569136.6854051704;8568781.964410916;292740805090203;S063;0.0;0.0;AMBIENTALISTA;1285.44;2.6
1231913F5C9E57F0FAA6556123B985B17FE0CE2F1A8F079F73DA7D4005FDD39D;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.939282591629638;-38.36181637677669;569223.5830508296;8569492.444081347;292740805090082;S028;0.0;0.0;AMBIENTALISTA;1286.26;2.5
12553B8C799EF1B1D60DDA6A0103DB623AAB134141341E8A25762221074B5CFC;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.944088160424585;-38.36253476128817;569144.3328786257;8568961.181163393;292740805090200;S062;0.0;0.0;AMBIENTALISTA;1021.96;2.6
126A656786B50D5E8CB5908772E66381412512926F9B8362559587FBD1B1C31F;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.9432050799267;-38.36232165394041;569167.6924635409;8569058.785144188;292740805090318;S093;0.0;0.0;AMBIENTALISTA;5134.75;2.9
126F825EBAD534E12143190A41628B1E4529CC158B57FF127CFF5191A5E2A1F4;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.94128895366568;-38.36257677839224;569140.5466211734;8569270.762246462;292740805090317;S092;0.0;0.0;AMBIENTALISTA;1791.2;2.4
12BDB9B274C96F41675476B07470D6A332452EFF788086855AFF3DD3B9F9DCA7;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.938692329583;-38.3611438317835;569296.6995230952;8569557.540251918;292740805090084;S030;7.5;122.95081967213115;PERDULARIO;1709.9;2.3
12F774560833D316DF156A0598FD38D387C84AD9308ECFA846C55C16DEA8A649;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.94144667483008;-38.36167515441956;569238.3048527092;8569253.075699031;292740805090121;S039;0.0;0.0;AMBIENTALISTA;1138.01;2.6
13A3C92290D910CD9004A998AB24A4A0DDD8739D9C97840263F5DC25CCBA1C58;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.939199231704292;-38.36142293484178;569266.2841856802;8569501.55653669;292740805090082;S028;6.0;98.36065573770492;AMBIENTALISTA;1286.26;2.5
13DA116B5BF002F3C6CE43565D9FD766586D2C5E795577A4DB45368D864CC718;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.934137574086016;-38.3649374414893;568886.4414983605;8570062.283448568;292740805090299;S082;0.0;0.0;AMBIENTALISTA;2881.95;2.6
