SK_MATRICULA,CD_SETOR_x,TP_COMPORTAMENTO_x,NN_MEDIA_CONSUMO_x,NN_CONSUMO_DIARIO_x,NN_MORADORES_ANALISE_x,NM_CENARIO,TP_NOVO_COMPORTAMENTO,NN_NOVA_MEDIA_CONSUMO,NN_NOVO_CONSUMO_DIARIO,NN_NOVO_MORADORES_ANALISE,MUDOU_COMPORTAMENTO,TIPO_MUDANCA,NM_LOCALIDADE,NM_CATEGORIATARIFARIA,NM_SITUACAO_IMOVEL,NN_MORADORES,NN_MORADORES_ANALISE_y,ST_PISCINA,LAT_GEO,LONG_GEO,X,Y,CD_SETOR_ORIGINAL,CD_SETOR_y,NN_MEDIA_CONSUMO_y,NN_CONSUMO_DIARIO_y,TP_COMPORTAMENTO_y,VL_RENDA_MEDIA_RESPONSAVEL,NN_MEDIA_MORADORES_IBGE
CC5C478F99043C74D118CD14B01858A6266FED34987367EF5F1F1C8A9C8DB297,S068,AMBIENTALISTA,11.916666666666666,97.67759562841528,4.0,CVIII,MODERADO,12.983691318939885,106.42369933557282,4.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.94816359301565,-38.37232056785724,568081.7448084166,8568513.0970131,292740805090248,S068,11.916666666666666,97.67759562841528,AMBIENTALISTA,4839.78,2.6
F16493E2C4D0B3FB709F02245B6BAD6872F88A4ACD9155765C1B156F8B903836,S068,AMBIENTALISTA,12.166666666666666,99.72677595628414,4.0,CVIII,PERDULARIO,27.23878564164982,223.26873476762145,4.0,True,AMBIENTALISTA → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.94805917127704,-38.37138346269523,568183.4207408073,8568524.395493055,292740805090248,S068,12.166666666666666,99.72677595628414,AMBIENTALISTA,4839.78,2.6
FD4B049ADB9552D0F60A5F6195BFE19C096E620812AAD7BCE7870C5D008CC05C,S068,MODERADO,13.75,112.70491803278688,4.0,CVIII,PERDULARIO,19.611925661987875,160.7534890326875,4.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.9474102162763,-38.3710988660926,568214.4673887142,8568596.088700743,292740805090329,S101,13.75,112.70491803278688,MODERADO,5922.09,2.7
0F10D08E50359088761E8B6D6851B2E66BF195B0C03C349313E99CFC59CC3424,S068,AMBIENTALISTA,13.0,85.24590163934427,5.0,CVIII,MODERADO,17.43264848417104,114.3124490765314,5.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,5,5,0,-12.94774908025692,-38.371583737657794,568161.7812405477,8568558.742420338,292740805090248,S068,13.0,85.24590163934427,AMBIENTALISTA,4839.78,2.6
33D80215F35EAFDF9E8B50B8F54D855068A48611625199E9563C2661D8662501,S068,AMBIENTALISTA,14.333333333333334,93.98907103825138,5.0,CVIII,PERDULARIO,32.68621590782068,214.3358420184963,5.0,True,AMBIENTALISTA → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,5,5,0,-12.949139286981948,-38.37226597882871,568087.4011503486,8568405.178715792,0,S001,14.333333333333334,93.98907103825138,AMBIENTALISTA,,
396CA3D6D86E0D325960B9D762F1FDACF69233B5838203FBC9CD88F7765D4B36,S068,MODERADO,17.833333333333332,116.93989071038251,5.0,CVIII,PERDULARIO,19.611925661987875,128.60279122615,5.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,5,5,0,-12.948982971699628,-38.36999653942214,568333.6082941752,8568421.860439152,292740805090248,S068,17.833333333333332,116.93989071038251,MODERADO,4839.78,2.6
7F729B7D12BC63F3335B0F0EB89D4AEBCEAA9194A025978E41B5E5968A665327,S068,AMBIENTALISTA,14.333333333333334,67.13505074160813,7.0,CVIII,PERDULARIO,34.865645621311764,163.30513171574597,7.0,True,AMBIENTALISTA → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,7,7,0,-12.946933587247807,-38.37076699746529,568250.5949082357,8568648.711417606,292740805090248,S068,14.333333333333334,67.13505074160813,AMBIENTALISTA,4839.78,2.6
C1E52D1D724979DB7E42D1F2CAF7B12D441E4CBD903B47E3203BE50516196CA0,S068,MODERADO,7.333333333333333,120.21857923497268,2.0,CVIII,PERDULARIO,9.805962830993938,160.7534890326875,2.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,2,2,0,-12.946979308803344,-38.37018927964691,568313.2476714656,8568643.500719322,292740805090248,S068,7.333333333333333,120.21857923497268,MODERADO,4839.78,2.6
23C83786A116320B5FB091AA3CA8065CA9F3F68C19D7EF8627B0A9FB793AF2BA,S068,AMBIENTALISTA,8.75,95.62841530054644,3.0,CVIII,PERDULARIO,15.253719959323895,166.707321959824,3.0,True,AMBIENTALISTA → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,3,3,0,-12.948628507032293,-38.371296769699626,568192.6694933937,8568461.408492858,292740805090248,S068,8.75,95.62841530054644,AMBIENTALISTA,4839.78,2.6
389D143CFDBEA6DBF5377645EF41C7D84D25E41C6BEBE0004D9A6CC70DFA8D31,S068,AMBIENTALISTA,12.0,98.36065573770492,4.0,CVIII,MODERADO,13.07461710799191,107.16899268845827,4.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.94882648953803,-38.370028328673584,568330.2027723109,8568439.174587792,292740805090248,S068,12.0,98.36065573770492,AMBIENTALISTA,4839.78,2.6
53ADC2719253BA1AF214E3FE18DD687808704161B43BB8DF4253D0C46D0E0277,S068,MODERADO,24.75,115.92505854800936,7.0,CVIII,PERDULARIO,26.96612812395205,126.30504976089954,7.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,7,7,0,-12.948157295052146,-38.37145403072896,568175.739566289,8568513.562623227,292740805090248,S068,24.75,115.92505854800936,MODERADO,4839.78,2.6
4E7BE0F80431B3902CF2FBF1BE6263F95E66009D7E344F1E21283871E891BBEF,S068,MODERADO,27.83333333333333,101.39647844565876,9.0,CVIII,PERDULARIO,39.22385132397575,142.89199025127778,9.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,9,9,0,-12.949184493103886,-38.37072349902639,568254.7005689754,8568399.76800025,292740805090248,S068,27.83333333333333,101.39647844565876,MODERADO,4839.78,2.6
96F7A9692F6615DED4CF652410D079D24E6F935D638DB4315E11B82D7D089B8B,S068,MODERADO,63.75,104.50819672131148,20.0,CVIII,PERDULARIO,75.17904837095355,123.24434159172714,20.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,20,20,0,-12.948974905453504,-38.37155112696632,568164.9853188002,8568423.167486519,292740805090248,S068,63.75,104.50819672131148,MODERADO,4839.78,2.6
448C092629DF88DE9D350AFD8410109876D8BBB6F300668FDBD1AF35A3BE2CAD,S068,MODERADO,65.33333333333333,112.74086856485476,19.0,CVIII,PERDULARIO,87.16324242085518,150.41111720596237,19.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,19,19,0,-12.948793043695742,-38.37174676909521,568143.8135580341,8568443.332062187,292740805090248,S068,65.33333333333333,112.74086856485476,MODERADO,4839.78,2.6
AD8A96CAEED36F7A8A34EFD17ADE0C27221D53784BE6DEC7636707D716D6A9BF,S068,AMBIENTALISTA,667.8333333333334,99.52806756085444,220.0,CVIII,PERDULARIO,962.073908863072,143.37912203622537,220.0,True,AMBIENTALISTA → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,220,220,0,-12.949569738504538,-38.37023181456655,568307.9282996265,8568357.031681454,292740805090248,S068,667.8333333333334,99.52806756085444,AMBIENTALISTA,4839.78,2.6
