CD_SETOR;TP_COMPORTAMENTO;TP_NOVO_COMPORTAMENTO;COUNT
S074;MODERADO;PERDULARIO;11
S074;PERDULARIO;MODERADO;1
S075;AMBIENTALISTA;MODERADO;9
S075;AMBIENTALISTA;PERDULARIO;2
S075;PERDULARIO;AMBIENTALISTA;1
S076;AMBIENTALISTA;MODERADO;6
S076;AMBIENTALISTA;PERDULARIO;7
S076;MODERADO;PERDULARIO;9
S076;PERDULARIO;AMBIENTALISTA;1
S077;AMBIENTALISTA;MODERADO;5
S077;AMBIENTALISTA;PERDULARIO;6
S077;MODERADO;PERDULARIO;8
S077;PERDULARIO;AMBIENTALISTA;2
S078;AMBIENTALISTA;MODERADO;4
S078;AMBIENTALISTA;PERDULARIO;4
S078;MODERADO;PERDULARIO;5
S079;AMBIENTALISTA;MODERADO;4
S079;AMBIENTALISTA;PERDULARIO;2
S079;MODERADO;PERDULARIO;4
S080;AMBIENTALISTA;MODERADO;7
S080;AMBIENTALISTA;PERDULARIO;6
S080;MODERADO;PERDULARIO;4
S081;MODERADO;PERDULARIO;2
S082;AMBIENTALISTA;MODERADO;8
S082;AMBIENTALISTA;PERDULARIO;3
S082;MODERADO;PERDULARIO;14
S082;PERDULARIO;AMBIENTALISTA;1
S083;AMBIENTALISTA;MODERADO;14
S083;AMBIENTALISTA;PERDULARIO;11
S083;MODERADO;AMBIENTALISTA;1
S083;MODERADO;PERDULARIO;15
S084;AMBIENTALISTA;MODERADO;8
S084;AMBIENTALISTA;PERDULARIO;4
S084;MODERADO;PERDULARIO;11
S084;PERDULARIO;MODERADO;1
S086;AMBIENTALISTA;MODERADO;17
S086;AMBIENTALISTA;PERDULARIO;6
S086;MODERADO;PERDULARIO;3
S087;AMBIENTALISTA;MODERADO;9
S087;AMBIENTALISTA;PERDULARIO;3
S087;MODERADO;PERDULARIO;10
S088;AMBIENTALISTA;MODERADO;8
S088;AMBIENTALISTA;PERDULARIO;5
S088;MODERADO;PERDULARIO;8
S089;AMBIENTALISTA;MODERADO;3
S089;AMBIENTALISTA;PERDULARIO;1
S089;MODERADO;PERDULARIO;4
S090;AMBIENTALISTA;MODERADO;3
S090;AMBIENTALISTA;PERDULARIO;3
S090;MODERADO;AMBIENTALISTA;1
S090;MODERADO;PERDULARIO;4
S090;PERDULARIO;AMBIENTALISTA;1
S091;AMBIENTALISTA;PERDULARIO;1
S091;MODERADO;AMBIENTALISTA;1
S091;PERDULARIO;AMBIENTALISTA;1
S092;AMBIENTALISTA;MODERADO;5
S092;AMBIENTALISTA;PERDULARIO;3
S092;MODERADO;PERDULARIO;5
S092;PERDULARIO;AMBIENTALISTA;2
S093;AMBIENTALISTA;MODERADO;5
S093;AMBIENTALISTA;PERDULARIO;4
S093;MODERADO;PERDULARIO;6
S094;AMBIENTALISTA;MODERADO;10
S094;AMBIENTALISTA;PERDULARIO;7
S094;MODERADO;PERDULARIO;12
S094;PERDULARIO;AMBIENTALISTA;3
S095;AMBIENTALISTA;MODERADO;22
S095;AMBIENTALISTA;PERDULARIO;13
S095;MODERADO;PERDULARIO;18
S095;PERDULARIO;MODERADO;1
S096;AMBIENTALISTA;MODERADO;14
S096;AMBIENTALISTA;PERDULARIO;10
S096;MODERADO;PERDULARIO;13
S097;AMBIENTALISTA;PERDULARIO;1
S098;AMBIENTALISTA;MODERADO;16
S098;AMBIENTALISTA;PERDULARIO;8
S098;MODERADO;PERDULARIO;11
S098;PERDULARIO;AMBIENTALISTA;1
S099;AMBIENTALISTA;MODERADO;22
S099;AMBIENTALISTA;PERDULARIO;3
S099;MODERADO;PERDULARIO;17
S100;AMBIENTALISTA;MODERADO;1
S100;AMBIENTALISTA;PERDULARIO;6
S100;MODERADO;PERDULARIO;6
S101;AMBIENTALISTA;MODERADO;18
S101;AMBIENTALISTA;PERDULARIO;8
S101;MODERADO;PERDULARIO;14
S101;PERDULARIO;MODERADO;1
S102;AMBIENTALISTA;MODERADO;6
S102;AMBIENTALISTA;PERDULARIO;2
S102;MODERADO;PERDULARIO;7
S103;AMBIENTALISTA;MODERADO;5
S103;AMBIENTALISTA;PERDULARIO;4
S103;MODERADO;PERDULARIO;11
S103;PERDULARIO;AMBIENTALISTA;1
